id,年龄,每月补贴积分,自理能力,居住情况,性别,婚姻状况,留存天数,观察期最后一次购买日期,第一次,最后一次,花费积分总数,总次数,月均次数,次均积分,家政服务,精神慰藉,生活照料,医疗保健,最大消费积分数,购买概率,购买天数,时间间隔,用户流失,最后一次距离12/31天数
29,95,200,2,与配偶及子女同住,1,1,291,2020/1/18,2019/4/2,2021/12/24,2537,110,11.34020619,23.06363636,33,0,77,0,75,1.325301205,83,3.506024096,0,7
30,94,300,1,与子女同住,0,1,433,2020/6/30,2019/4/24,2021/12/28,2347,54,3.741339492,43.46296296,53,0,1,0,72,3.857142857,14,30.92857143,0,3
31,94,200,1,与子女同住,0,1,362,2020/1/8,2019/1/11,2021/12/4,2600,50,4.143646409,52,50,0,0,0,120,2.173913043,23,15.73913043,0,27
32,94,200,2,偶居,1,0,524,2020/6/24,2019/1/17,2021/12/31,3190,73,4.179389313,43.69863014,33,0,35,5,120,1.622222222,45,11.64444444,0,0
33,94,200,2,与子女同住,0,3,376,2020/1/16,2019/1/5,2021/12/20,2600,64,5.106382979,40.625,64,0,0,0,65,2.461538462,26,14.46153846,0,11
34,94,100,3,与子女同住,0,3,337,2020/6/22,2019/7/21,2021/12/18,1542.8,45,4.005934718,34.28444444,45,0,0,0,60,3.75,12,28.08333333,0,13
35,94,200,1,与配偶及子女同住,0,1,365,2020/1/6,2019/1/6,2021/12/22,2549.92,46,3.780821918,55.43304348,46,0,0,0,89.56,2.3,20,18.25,0,9
36,93,100,3, ,0,1,516,2020/6/10,2019/1/11,2021/10/7,1354,40,2.325581395,33.85,38,0,0,2,56,3.333333333,12,43,1,85
37,93,200,1,与子女同住,0,3,375,2020/1/14,2019/1/4,2021/12/3,2599.4,49,3.92,53.04897959,49,0,0,0,72,1.96,25,15,0,28
38,93,200,3,与配偶及子女同住,0,1,374,2020/1/15,2019/1/6,2021/12/24,2600,44,3.529411765,59.09090909,44,0,0,0,100,1.692307692,26,14.38461538,0,7
39,93,200,2,与子女同住,1,3,439,2020/6/29,2019/4/17,2021/12/29,2705.8,87,5.945330296,31.10114943,56,0,1,30,64,7.909090909,11,39.90909091,0,2
40,93,400,2,与子女同住,1,0,218,2019/8/9,2019/1/3,2021/12/20,1299.6,36,4.95412844,36.1,14,0,22,0,100,1.333333333,27,8.074074074,0,11
41,93,200,2, ,1,,15,2020/6/26,2020/6/11,2021/12/13,1272.6,19,19,66.97894737,15,0,2,2,432,6.333333333,3,5,0,18
42,93,100,3,与配偶及子女同住,1,1,454,2020/6/16,2019/3/20,2021/12/11,1560,17,1.123348018,91.76470588,17,0,0,0,200,2.428571429,7,64.85714286,0,20
43,93,100,3,偶居,1,1,506,2020/6/6,2019/1/17,2021/12/9,1068,32,1.897233202,33.375,21,0,9,2,64.8,2.909090909,11,46,0,22
44,93,200,2, ,0,1,155,2019/7/30,2019/2/25,2021/12/31,804,51,9.870967742,15.76470588,0,0,51,0,48,1.02,50,3.1,0,0
45,92,200,2,偶居,0,1,346,2019/12/18,2019/1/6,2021/12/25,2320,48,4.161849711,48.33333333,42,0,6,0,96,3,16,21.625,0,6
46,92,200,2,与配偶及子女同住,0,1,362,2020/1/7,2019/1/10,2021/12/20,2597,64,5.303867403,40.578125,63,0,1,0,75,4.266666667,15,24.13333333,0,11
47,92,100,3,与配偶及子女同住,1,1,525,2020/6/18,2019/1/10,2021/12/26,1615.2,31,1.771428571,52.10322581,0,0,4,27,110.4,2.583333333,12,43.75,0,5
48,92,100,3,与子女同住,0,1,463,2020/6/9,2019/3/4,2021/12/30,1134,30,1.943844492,37.8,30,0,0,0,100,3,10,46.3,0,1
49,92,200,1,与配偶及子女同住,0,1,365,2020/1/6,2019/1/6,2021/12/16,2566,62,5.095890411,41.38709677,54,1,5,2,180,3.444444444,18,20.27777778,0,15
50,92,200,3,偶居,1,1,305,2020/1/17,2019/3/18,2021/10/30,2550,45,4.426229508,56.66666667,45,0,0,0,110,2.8125,16,19.0625,1,62
51,92,300,1,与配偶及子女同住,0,1,378,2020/1/18,2019/1/5,2021/12/17,3899.8,116,9.206349206,33.61896552,0,0,100,16,120,2.416666667,48,7.875,0,14
52,91,200,3,偶居,0,1,366,2020/1/9,2019/1/8,2021/12/26,2550,47,3.852459016,54.25531915,47,0,0,0,110,2.764705882,17,21.52941176,0,5
53,91,300,1,与子女同住,1,1,490,2020/6/28,2019/2/24,2021/8/29,2736.6,47,2.87755102,58.22553191,47,0,0,0,180,5.222222222,9,54.44444444,1,124
54,91,200,1,与配偶及子女同住,1,1,362,2020/1/8,2019/1/11,2021/12/29,2600,53,4.392265193,49.05660377,53,0,0,0,80,2.304347826,23,15.73913043,0,2
