id,年龄,每月补贴积分,自理能力,居住情况,性别,婚姻状况,留存天数,观察期最后一次购买日期,第一次,最后一次,花费积分总数,总次数,月均次数,次均积分,家政服务,精神慰藉,生活照料,医疗保健,最大消费积分数,购买概率,购买天数,时间间隔,用户流失,最后一次距离12/31天数
903,84,200,2, ,0,1,527,2020/6/24,2019/1/14,2021/12/6,2963,38,2.163187856,77.97368421,38,0,0,0,120,3.166666667,12,43.91666667,0,25
904,84,100,3,与子女同住,0,0,464,2020/6/21,2019/3/15,2021/12/17,917.4,29,1.875,31.63448276,29,0,0,0,56,4.142857143,7,66.28571429,0,14
905,84,200,2,偶居,1,0,458,2020/6/13,2019/3/13,2021/12/30,2317.4,66,4.323144105,35.11212121,62,0,4,0,72,4.125,16,28.625,0,1
906,84,100,3, ,1,1,512,2020/6/9,2019/1/14,2021/12/20,1454,19,1.11328125,76.52631579,19,0,0,0,144,2.375,8,64,0,11
907,84,100,3,与子女同住,0,1,457,2020/6/11,2019/3/12,2021/3/6,1157.6,39,2.560175055,29.68205128,19,0,19,1,100.8,1.625,24,19.04166667,1,300
908,84,200,2, ,1,1,376,2020/6/30,2019/6/20,2021/12/30,1781.5,61,4.867021277,29.20491803,61,0,0,0,58.5,4.066666667,15,25.06666667,0,1
909,84,100,3,与子女同住,0,3,509,2020/6/20,2019/1/28,2021/12/17,1321,39,2.298624754,33.87179487,39,0,0,0,56,4.333333333,9,56.55555556,0,14
910,84,200,2,偶居,1,1,515,2020/6/7,2019/1/9,2021/12/19,2456,39,2.27184466,62.97435897,38,0,1,0,100,3.25,12,42.91666667,0,12
911,84,100,3,独居,0,3,468,2020/6/28,2019/3/18,2021/12/24,1069.2,62,3.974358974,17.24516129,4,0,40,18,48,1.319148936,47,9.957446809,0,7
912,84,100,3,与子女同住,0,0,531,2020/6/30,2019/1/16,2021/12/30,1503,40,2.259887006,37.575,32,0,8,0,80,3.333333333,12,44.25,0,1
913,84,100,3,与子女同住,0,0,442,2020/6/29,2019/4/14,2021/9/19,1156,22,1.49321267,52.54545455,22,0,0,0,120,3.666666667,6,73.66666667,1,103
914,84,100,3,与子女同住,0,3,489,2020/6/24,2019/2/21,2021/4/19,1714,55,3.374233129,31.16363636,26,0,2,27,110.4,2.894736842,19,25.73684211,1,256
915,83,100,3,与子女同住,0,1,523,2020/6/21,2019/1/15,2021/12/2,1156.8,69,3.95793499,16.76521739,13,0,56,0,57.6,1.169491525,59,8.86440678,0,29
916,83,100,3,与子女同住,1,1,348,2020/6/7,2019/6/25,2021/6/26,730,14,1.206896552,52.14285714,11,0,3,0,150,4.666666667,3,116,1,188
917,84,800,,,0,3,225,2020/1/14,2019/6/3,2020/9/25,5588.2,140,18.66666667,39.91571429,85,0,40,15,100,5.384615385,26,8.653846154,1,462
918,83,200,2,偶居,0,0,351,2019/12/28,2019/1/11,2021/12/19,2260,34,2.905982906,66.47058824,34,0,0,0,120,3.090909091,11,31.90909091,0,12
919,84,100,3,与子女同住,0,1,322,2019/12/18,2019/1/30,2020/12/11,1166.2,31,2.888198758,37.61935484,3,0,8,20,150,1.823529412,17,18.94117647,1,385
920,83,100,3,与子女同住,0,1,305,2019/12/18,2019/2/16,2021/12/12,1164.8,46,4.524590164,25.32173913,3,0,21,22,41.6,1.4375,32,9.53125,0,19
921,84,100,3,与子女同住,0,3,196,2019/7/26,2019/1/11,2020/10/12,696,28,4.285714286,24.85714286,0,0,28,0,36,1,28,7,1,445
922,83,200,2,与配偶及子女同住,0,1,182,2020/6/11,2019/12/12,2021/12/24,577.8,15,2.472527473,38.52,15,0,0,0,84.6,5,3,60.66666667,0,7
923,83,100,3,与子女同住,0,3,508,2020/6/13,2019/1/22,2021/6/6,952.3,31,1.830708661,30.71935484,28,0,3,0,48,3.1,10,50.8,1,208
924,83,200,2,偶居,0,3,480,2020/6/19,2019/2/25,2021/12/24,2872,46,2.875,62.43478261,46,0,0,0,432,3.285714286,14,34.28571429,0,7
925,83,100,3,与子女同住,0,0,533,2020/6/27,2019/1/11,2021/12/26,1105.8,30,1.688555347,36.86,30,0,0,0,60,3.75,8,66.625,0,5
926,83,200,3, ,0,0,219,2020/1/18,2019/6/13,2021/12/27,1780.8,60,8.219178082,29.68,58,0,2,0,43.2,3.333333333,18,12.16666667,0,4
927,83,100,3,与子女同住,0,0,397,2020/6/21,2019/5/21,2021/12/22,1393.3,38,2.871536524,36.66578947,38,0,0,0,129,4.222222222,9,44.11111111,0,9
928,83,100,3, ,1,1,532,2020/6/29,2019/1/14,2021/12/13,1213,24,1.353383459,50.54166667,24,0,0,0,80,2.666666667,9,59.11111111,0,18
929,83,100,3,与子女同住,0,1,116,2019/6/21,2019/2/25,2021/10/26,543.8,36,9.310344828,15.10555556,0,0,30,6,40.2,2,18,6.444444444,1,66
930,83,100,3,与配偶及子女同住,1,3,256,2019/10/12,2019/1/29,2021/12/3,388,7,0.8203125,55.42857143,7,0,0,0,84,3.5,2,128,0,28
931,83,200,3,与配偶及子女同住,1,1,215,2020/1/13,2019/6/12,2021/12/27,1669.2,67,9.348837209,24.91343284,29,0,38,0,70,2.576923077,26,8.269230769,0,4
932,83,100,3,独居,0,1,520,2020/6/27,2019/1/24,2021/12/15,1756.2,36,2.076923077,48.78333333,3,0,15,18,150,1.44,25,20.8,0,16
933,83,100,3,与子女同住,0,1,106,2019/4/25,2019/1/9,2021/7/21,600,27,7.641509434,22.22222222,0,0,27,0,24,1,27,3.925925926,1,163
934,83,100,3,与子女同住,0,0,452,2020/6/21,2019/3/27,2021/12/23,1737.2,42,2.787610619,41.36190476,0,0,24,18,150,2.210526316,19,23.78947368,0,8
935,83,100,3,偶居,1,3,165,2019/7/5,2019/1/21,2021/3/6,690,26,4.727272727,26.53846154,3,0,23,0,80,1.083333333,24,6.875,1,300
936,83,100,3,偶居,0,3,223,2019/10/14,2019/3/5,2020/10/19,727,52,6.995515695,13.98076923,0,0,41,11,40.2,1.793103448,29,7.689655172,1,438
937,83,100,3,与子女同住,0,1,97,2019/12/29,2019/9/23,2021/12/21,520,7,2.164948454,74.28571429,7,0,0,0,120,3.5,2,48.5,0,10
938,83,100,3,与子女同住,0,1,425,2020/6/23,2019/4/25,2021/12/18,1230,23,1.623529412,53.47826087,21,0,1,1,100,3.285714286,7,60.71428571,0,13
939,83,100,3,与子女同住,0,0,439,2020/6/16,2019/4/4,2021/12/16,1423.9,40,2.733485194,35.5975,40,0,0,0,53.6,4,10,43.9,0,15
940,82,200,3, ,0,1,74,2020/1/11,2019/10/29,2021/12/13,800,12,4.864864865,66.66666667,12,0,0,0,100,3,4,18.5,0,18
941,82,100,3,与子女同住,0,2,349,2020/6/28,2019/7/15,2021/12/22,1182.2,34,2.922636103,34.77058824,0,0,8,26,73.6,1.888888889,18,19.38888889,0,9
942,82,200,3, ,0,0,93,2020/1/17,2019/10/16,2021/12/29,800,16,5.161290323,50,16,0,0,0,80,2,8,11.625,0,2
943,82,100,3,与配偶及子女同住,1,0,186,2020/6/28,2019/12/25,2021/12/28,820,13,2.096774194,63.07692308,5,0,0,8,120,3.25,4,46.5,0,3
944,82,100,3,偶居,0,1,186,2020/6/14,2019/12/11,2021/10/31,905.6,23,3.709677419,39.37391304,21,0,0,2,74.4,3.285714286,7,26.57142857,1,61
945,82,100,3,独居,0,0,342,2020/6/15,2019/7/9,2021/10/21,681.8,28,2.456140351,24.35,4,0,8,16,49.4,1.75,16,21.375,1,71
946,82,100,3,与子女同住,1,1,248,2020/6/20,2019/10/16,2021/4/27,481.4,15,1.814516129,32.09333333,0,0,0,15,124,2.142857143,7,35.42857143,1,248
947,82,100,3,与子女同住,1,3,115,2019/10/25,2019/7/2,2021/12/8,124,18,4.695652174,6.888888889,0,0,18,0,24,1,18,6.388888889,0,23
948,82,100,3,与子女同住,1,0,42,2019/12/24,2019/11/12,2020/12/1,424,7,5,60.57142857,7,0,0,0,92,3.5,2,21,1,395
949,82,100,3,与子女同住,1,1,187,2020/6/17,2019/12/13,2021/12/4,300,5,0.802139037,60,5,0,0,0,100,2.5,2,93.5,0,27
950,82,100,3,与子女同住,1,1,180,2020/6/19,2019/12/22,2021/12/12,249.4,6,1,41.56666667,5,0,0,1,78.4,2,3,60,0,19
951,82,500,3,与子女同住,0,1,372,2020/1/13,2019/1/6,2021/12/29,5128.24,146,11.77419355,35.12493151,113,0,33,0,81,3.842105263,38,9.789473684,0,2
952,82,100,3, ,0,1,175,2020/6/16,2019/12/24,2021/12/3,420,6,1.028571429,70,6,0,0,0,120,3,2,87.5,0,28
953,82,100,3,与子女同住,0,0,9,2020/6/30,2020/6/21,2020/7/14,246,7,7,35.14285714,7,0,0,0,48,3.5,2,4.5,1,535
954,82,100,3,偶居,0,0,201,2020/6/27,2019/12/9,2021/12/15,300,6,0.895522388,50,6,0,0,0,80,3,2,100.5,0,16
955,82,200,3,偶居,0,0,206,2020/6/29,2019/12/6,2021/12/29,256.6,10,1.45631068,25.66,0,0,0,10,40.2,2.5,4,51.5,0,2
956,82,100,3,与子女同住,0,3,206,2020/6/28,2019/12/5,2021/11/26,414,12,1.747572816,34.5,12,0,0,0,48,4,3,68.66666667,1,35
957,82,100,3,与子女同住,0,1,1,2020/6/18,2020/6/17,2021/12/29,195.5,6,6,32.58333333,5,0,0,1,50.4,3,2,0.5,0,2
958,82,800,2,独居,0,3,377,2020/1/17,2019/1/5,2021/12/22,10013,313,24.9071618,31.99041534,297,0,16,0,55,4.347222222,72,5.236111111,0,9
959,79,200,3,独居,0,3,368,2020/1/12,2019/1/9,2021/12/10,2502.8,69,5.625,36.27246377,67,0,2,0,73,2.653846154,26,14.15384615,0,21
960,78,500,3, ,1,1,540,2020/6/30,2019/1/7,2021/12/26,7569,204,11.33333333,37.10294118,204,0,0,0,144,4.533333333,45,12,0,5
961,78,500,3, ,1,0,443,2020/6/17,2019/4/1,2021/12/23,3722.89,69,4.67268623,53.95492754,54,0,0,15,324,4.3125,16,27.6875,0,8
962,77,500,3,偶居,1,0,531,2020/6/28,2019/1/14,2021/12/30,7911.8,226,12.76836158,35.0079646,178,0,14,34,108,5.512195122,41,12.95121951,0,1
963,75,800,2,与子女同住,1,1,371,2020/1/14,2019/1/8,2021/12/31,9382,144,11.64420485,65.15277778,109,0,35,0,440,4,36,10.30555556,0,0
964,73,500,3,与配偶及子女同住,0,0,528,2020/6/23,2019/1/12,2021/12/21,8755,129,7.329545455,67.86821705,112,0,0,17,152,4.03125,32,16.5,0,10
965,73,500,3,偶居,0,0,519,2020/6/28,2019/1/26,2021/12/20,1241.5,25,1.445086705,49.66,23,0,2,0,180,5,5,103.8,0,11
966,73,500,2, ,1,0,472,2020/6/29,2019/3/15,2021/12/31,6328.6,198,12.58474576,31.96262626,175,3,19,1,67.5,4.714285714,42,11.23809524,0,0
967,72,500,3, ,0,1,470,2020/6/27,2019/3/15,2021/12/25,4562.4,78,4.978723404,58.49230769,74,3,1,0,100,3.545454545,22,21.36363636,0,6
968,72,500,3, ,0,1,452,2020/6/26,2019/4/1,2021/12/30,4841.69,97,6.438053097,49.9143299,78,0,3,16,324,4.409090909,22,20.54545455,0,1
969,71,500,3, ,0,3,514,2020/6/22,2019/1/25,2021/12/14,3755.2,75,4.377431907,50.06933333,74,0,1,0,135,6.25,12,42.83333333,0,17
970,71,500,3,偶居,0,1,531,2020/6/21,2019/1/7,2021/12/23,7176.3,210,11.86440678,34.17285714,183,0,21,6,90,5.12195122,41,12.95121951,0,8
971,70,500,3, ,1,1,545,2020/6/30,2019/1/2,2021/12/28,9603.06,260,14.31192661,36.93484615,71,0,168,21,324,1.721854305,151,3.609271523,0,3
972,70,500,3,独居,1,2,376,2020/1/17,2019/1/6,2021/12/31,5975,97,7.739361702,61.59793814,69,0,25,3,105,3.464285714,28,13.42857143,0,0
973,70,500,3, ,0,1,497,2020/6/27,2019/2/16,2021/12/31,6415.6,200,12.07243461,32.078,178,3,17,2,67.5,4.651162791,43,11.55813953,0,0
974,69,500,3,独居,0,1,352,2020/1/13,2019/1/26,2021/12/19,5920,92,7.840909091,64.34782609,68,0,23,1,250,3.833333333,24,14.66666667,0,12
975,69,1200,0,与子女同住,0,1,371,2020/1/14,2019/1/8,2021/12/28,7862.6,307,24.82479784,25.61107492,170,1,80,56,72,6.265306122,49,7.571428571,0,3
976,69,500,,,0,0,360,2020/1/17,2019/1/22,2021/12/27,5129,85,7.083333333,60.34117647,57,0,18,10,440,3.541666667,24,15,0,4
977,69,500,3,偶居,0,1,535,2020/6/27,2019/1/9,2021/12/23,5851.77,102,5.719626168,57.37029412,70,0,2,30,324,7.285714286,14,38.21428571,0,8
978,69,500,3, ,0,1,539,2020/6/27,2019/1/5,2021/12/22,9875.1,302,16.80890538,32.69900662,189,10,75,28,67.5,6.163265306,49,11,0,9
979,68,500,3, ,1,1,540,2020/6/26,2019/1/3,2021/12/23,4559.4,127,7.055555556,35.9007874,117,0,5,5,162,4.884615385,26,20.76923077,0,8
980,68,500,3, ,0,1,484,2020/6/27,2019/3/1,2021/12/31,6098,184,11.40495868,33.14130435,171,2,9,2,108,4.6,40,12.1,0,0
981,68,500,3, ,0,1,539,2020/6/30,2019/1/8,2021/12/31,7516,202,11.24304267,37.20792079,138,0,52,12,150,3.543859649,57,9.456140351,0,0
982,68,500,3,与子女同住,0,0,21,2020/6/26,2020/6/5,2021/12/24,702.2,20,20,35.11,20,0,0,0,60,5,4,5.25,0,7
983,68,500,3, ,0,1,380,2020/1/17,2019/1/2,2021/12/30,7380.7,217,17.13157895,34.0124424,45,0,157,15,324,1.496551724,145,2.620689655,0,1
984,68,500,3,与子女同住,1,0,357,2020/1/15,2019/1/23,2021/12/21,6304,62,5.210084034,101.6774194,56,0,3,3,189,2.818181818,22,16.22727273,0,10
985,68,500,3,与配偶及子女同住,0,1,357,2020/1/8,2019/1/16,2021/12/27,6275,65,5.462184874,96.53846154,58,0,7,0,189,3.095238095,21,17,0,4
986,67,800,3, ,0,0,378,2020/1/17,2019/1/4,2021/12/28,10373,251,19.92063492,41.32669323,216,1,0,34,135.2,3.984126984,63,6,0,3
987,67,500,3, ,0,1,277,2020/1/16,2019/4/14,2021/12/29,4427,72,7.797833935,61.48611111,68,0,4,0,175,3.428571429,21,13.19047619,0,2
988,67,500,3,偶居,1,1,529,2020/6/30,2019/1/18,2021/9/28,6731.9,150,8.506616257,44.87933333,145,0,5,0,121.5,3.947368421,38,13.92105263,1,94
989,67,500,3,与子女同住,0,1,430,2020/6/29,2019/4/26,2021/12/25,4957.2,88,6.139534884,56.33181818,86,0,2,0,1782,3.52,25,17.2,0,6
990,66,500,3,与子女同住,1,0,521,2020/6/30,2019/1/26,2020/10/29,6762,193,11.11324376,35.03626943,193,0,0,0,80,4.595238095,42,12.4047619,1,428
991,66,500,3, ,0,1,526,2020/6/26,2019/1/17,2021/12/30,4814.6,139,7.927756654,34.63741007,122,0,9,8,162,4.793103448,29,18.13793103,0,1
992,66,500,3, ,0,,375,2020/1/14,2019/1/4,2021/12/27,8577,229,18.32,37.45414847,153,0,0,76,72,6.026315789,38,9.868421053,0,4
993,65,500,3,独居,0,1,363,2020/1/14,2019/1/16,2021/10/27,6337,127,10.49586777,49.8976378,76,0,44,7,160,2.081967213,61,5.950819672,1,65
994,65,500,,,1,1,13,2020/1/20,2020/1/7,2021/12/14,658.9,17,17,38.75882353,14,0,0,3,108,5.666666667,3,4.333333333,0,17
995,65,500,3, ,1,1,535,2020/6/26,2019/1/8,2021/12/30,9291.8,292,16.37383178,31.82123288,188,12,64,28,67.5,6.347826087,46,11.63043478,0,1
996,64,500,3, ,1,1,181,2020/6/25,2019/12/27,2021/12/28,858.6,30,4.972375691,28.62,30,0,0,0,36,5,6,30.16666667,0,3
997,64,500,2, ,0,1,362,2020/1/16,2019/1/19,2021/12/9,702.9,16,1.325966851,43.93125,14,1,1,0,216,5.333333333,3,120.6666667,0,22
998,64,500,3,偶居,0,1,517,2020/6/16,2019/1/16,2021/12/22,6377.5,67,3.887814313,95.18656716,67,0,0,0,432,5.583333333,12,43.08333333,0,9
999,63,500,3,与配偶及子女同住,0,1,151,2020/1/10,2019/8/12,2021/12/28,1606.5,43,8.543046358,37.36046512,42,0,1,0,94.5,4.777777778,9,16.77777778,0,3
1000,63,500,,,1,1,466,2020/6/27,2019/3/19,2021/12/27,6551.7,197,12.68240343,33.25736041,159,0,4,34,72,5.472222222,36,12.94444444,0,4
1001,63,500,,,0,1,476,2020/6/30,2019/3/12,2021/12/27,6680.12,202,12.73109244,33.06990099,104,0,1,97,72,5.611111111,36,13.22222222,0,4
1002,63,500,3,偶居,1,1,452,2020/6/27,2019/4/2,2021/12/30,5979.16,74,4.911504425,80.79945946,69,0,3,2,405,5.692307692,13,34.76923077,0,1
1003,62,500,3, ,0,1,29,2020/1/10,2019/12/12,2021/12/21,345.3,13,13,26.56153846,13,0,0,0,36,4.333333333,3,9.666666667,0,10
1004,93,100,3, ,1,1,191,2019/7/18,2019/1/8,2020/12/26,696,58,9.109947644,12,0,0,58,0,12,1.234042553,47,4.063829787,1,370
1005,90,100,3,与子女同住,1,1,48,2019/7/9,2019/5/22,2021/12/29,360,15,9.375,24,0,0,15,0,24,1,15,3.2,0,2
1006,84,200,3,偶居,1,1,368,2020/1/10,2019/1/7,2021/12/27,2510,67,5.461956522,37.46268657,67,0,0,0,50,2.791666667,24,15.33333333,0,4
1007,82,100,3,与配偶及子女同住,1,1,55,2019/12/30,2019/11/5,2020/12/9,591,4,2.181818182,147.75,4,0,0,0,200,2,2,27.5,1,387
1008,71,500,3,独居,0,3,372,2020/1/16,2019/1/9,2021/12/28,6191.8,199,16.0483871,31.11457286,87,0,110,2,156,2.551282051,78,4.769230769,0,3
1009,70,500,3,独居,0,1,378,2020/1/17,2019/1/4,2021/12/26,6188,288,22.85714286,21.48611111,68,0,220,0,72,1.724550898,167,2.263473054,0,5
1010,94,300,3,与子女同住,0,1,505,2020/6/11,2019/1/23,2021/12/14,1251,30,1.782178218,41.7,30,0,0,0,65,3.333333333,9,56.11111111,0,17
1011,91,100,3,与子女同住,0,3,217,2019/12/24,2019/5/21,2021/10/19,1175,14,1.935483871,83.92857143,12,0,0,2,160,3.5,4,54.25,1,73
1012,90,100,3, ,1,1,346,2019/12/28,2019/1/16,2021/12/2,882,64,5.549132948,13.78125,4,0,58,2,56,1.391304348,46,7.52173913,0,29
1013,89,200,2,与配偶及子女同住,1,3,164,2020/6/28,2020/1/16,2021/12/17,600,9,1.646341463,66.66666667,9,0,0,0,120,3,3,54.66666667,0,14
1014,89,100,3,与子女同住,1,0,253,2019/12/26,2019/4/17,2021/6/7,1182,7,0.830039526,168.8571429,7,0,0,0,240,1.75,4,63.25,1,207
1015,88,200,2,偶居,1,1,352,2019/12/28,2019/1/10,2021/1/14,2390,40,3.409090909,59.75,40,0,0,0,300,3.076923077,13,27.07692308,1,351
1016,85,100,3,与子女同住,1,1,528,2020/6/27,2019/1/16,2021/12/21,1639.8,49,2.784090909,33.46530612,22,0,6,21,120,2.882352941,17,31.05882353,0,10
1017,84,100,3, ,0,1,526,2020/6/29,2019/1/20,2021/12/20,1260,25,1.425855513,50.4,25,0,0,0,80,3.125,8,65.75,0,11
1018,83,100,3,与子女同住,0,0,441,2020/6/26,2019/4/12,2021/12/28,1495,23,1.56462585,65,22,0,1,0,144,3.833333333,6,73.5,0,3
1019,84,100,3,与子女同住,1,1,290,2019/12/28,2019/3/13,2020/12/30,519.6,33,3.413793103,15.74545455,3,0,28,2,81.6,1.222222222,27,10.74074074,1,366
1020,83,100,3,与配偶及子女同住,1,3,300,2019/12/23,2019/2/26,2020/12/8,1173.4,24,2.4,48.89166667,5,0,0,19,110.4,3,8,37.5,1,388
1021,85,200,3, ,1,1,200,2020/6/29,2019/12/12,2021/12/17,480,7,1.05,68.57142857,7,0,0,0,108,3.5,2,100,0,14
1022,106,200,2,与子女同住,0,1,503,2020/6/12,2019/1/26,2021/2/4,2801.9,35,2.087475149,80.05428571,35,0,0,0,153,2.5,14,35.92857143,1,330
1023,100,200,2, ,0,3,535,2020/6/29,2019/1/11,2021/12/15,2800,42,2.355140187,66.66666667,42,0,0,0,140,3,14,38.21428571,0,16
1024,98,400,0, ,0,3,539,2020/6/29,2019/1/7,2021/12/30,5979.2,121,6.734693878,49.41487603,114,6,1,0,83,2.813953488,43,12.53488372,0,1
1025,97,200,2,与子女同住,1,1,507,2020/6/11,2019/1/21,2021/12/27,2796.9,58,3.431952663,48.22241379,58,0,0,0,108,4.142857143,14,36.21428571,0,4
1026,97,200,2, ,0,1,516,2020/6/25,2019/1/26,2021/12/23,2582,35,2.034883721,73.77142857,35,0,0,0,150,2.692307692,13,39.69230769,0,8
1027,97,200,2,与子女同住,0,1,529,2020/6/23,2019/1/11,2021/12/23,2980,81,4.593572779,36.79012346,57,2,20,2,70,3.857142857,21,25.19047619,0,8
1028,96,300,1, ,1,1,537,2020/6/29,2019/1/9,2021/12/17,4386,123,6.87150838,35.65853659,118,2,3,0,55,3.324324324,37,14.51351351,0,14
1029,96,200,2, ,0,3,502,2020/6/15,2019/1/30,2021/12/6,2422,39,2.330677291,62.1025641,39,0,0,0,150,3,13,38.61538462,0,25
1030,95,200,2, ,0,1,531,2020/6/26,2019/1/12,2021/12/27,2400,43,2.429378531,55.81395349,43,0,0,0,152,3.071428571,14,37.92857143,0,4
1031,95,200,2,与子女同住,1,1,526,2020/6/26,2019/1/17,2021/12/21,3000,71,4.049429658,42.25352113,49,0,22,0,90,4.4375,16,32.875,0,10
1032,95,400,0, ,1,3,536,2020/6/28,2019/1/9,2021/12/30,4578.9,92,5.149253731,49.77065217,88,1,2,1,120,2.967741935,31,17.29032258,0,1
1033,95,200,2, ,1,1,510,2020/6/13,2019/1/20,2021/12/13,2838,40,2.352941176,70.95,40,0,0,0,150,3.076923077,13,39.23076923,0,18
1034,95,400,0, ,1,1,20,2020/6/29,2020/6/9,2021/12/30,1200,23,23,52.17391304,10,3,5,5,120,4.6,5,4,0,1
1035,95,400,0, ,0,1,530,2020/6/30,2019/1/17,2021/12/22,6000,75,4.245283019,80,69,0,6,0,162,4.166666667,18,29.44444444,0,9
1036,95,200,2,与子女同住,1,1,523,2020/6/24,2019/1/18,2021/12/16,3000,82,4.703632887,36.58536585,45,0,30,7,120,3.416666667,24,21.79166667,0,15
1037,94,300,1,独居,1,1,537,2020/6/27,2019/1/7,2021/12/27,4200,118,6.592178771,35.59322034,69,1,44,4,90,5.130434783,23,23.34782609,0,4
1038,94,200,2, ,1,1,509,2020/6/18,2019/1/26,2021/12/11,2956,39,2.298624754,75.79487179,39,0,0,0,150,2.785714286,14,36.35714286,0,20
1039,94,300,1, ,0,,534,2020/6/29,2019/1/12,2021/12/15,4265,88,4.943820225,48.46590909,87,1,0,0,80,3.259259259,27,19.77777778,0,16
1040,94,200,2,与子女同住,0,1,510,2020/6/11,2019/1/18,2021/12/19,3000,70,4.117647059,42.85714286,44,0,16,10,130,3.888888889,18,28.33333333,0,12
1041,94,400,0, ,0,1,516,2020/6/29,2019/1/30,2021/12/29,4250,61,3.546511628,69.67213115,61,0,0,0,150,3.388888889,18,28.66666667,0,2
1042,94,400,0, ,1,3,18,2020/6/29,2020/6/11,2021/12/18,1128,22,22,51.27272727,12,2,4,4,120,5.5,4,4.5,0,13
1043,93,300,1, ,1,1,16,2020/6/28,2020/6/12,2021/12/18,897,17,17,52.76470588,11,1,3,2,100,4.25,4,4,0,13
1044,93,300,1,与子女同住,0,1,8,2020/6/27,2020/6/19,2021/12/24,900,11,11,81.81818182,9,0,2,0,170,5.5,2,4,0,7
1045,93,200,2,与子女同住,0,3,534,2020/6/28,2019/1/11,2021/12/21,2800,71,3.988764045,39.43661972,60,1,8,2,70,3.736842105,19,28.10526316,0,10
1046,93,200,2, ,1,3,485,2020/6/28,2019/3/1,2021/12/10,2858,36,2.226804124,79.38888889,36,0,0,0,180,3.6,10,48.5,0,21
1047,93,400,0, ,1,,526,2020/6/24,2019/1/15,2021/12/30,5094.3,80,4.562737643,63.67875,80,0,0,0,112,3.2,25,21.04,0,1
1048,93,200,2,与子女同住,0,1,521,2020/6/26,2019/1/22,2021/12/24,1891,48,2.763915547,39.39583333,42,0,6,0,72,4,12,43.41666667,0,7
1049,93,400,0, ,0,1,529,2020/6/22,2019/1/10,2021/12/13,5929.56,106,6.011342155,55.93924528,88,9,6,3,103,3.785714286,28,18.89285714,0,18
1050,92,200,2,与子女同住,1,0,345,2020/1/6,2019/1/26,2021/12/24,2795,58,5.043478261,48.18965517,58,0,0,0,104.4,4.142857143,14,24.64285714,0,7
1051,92,300,1, ,0,3,526,2020/6/23,2019/1/14,2021/12/22,4500,69,3.935361217,65.2173913,46,3,8,12,140,3.285714286,21,25.04761905,0,9
1052,92,200,2, ,0,1,16,2020/6/28,2020/6/12,2021/12/30,592,13,13,45.53846154,10,0,3,0,100,4.333333333,3,5.333333333,0,1
1053,92,300,1, ,0,1,524,2020/6/29,2019/1/22,2021/12/20,4280,44,2.519083969,97.27272727,44,0,0,0,210,3.142857143,14,37.42857143,0,11
1054,92,300,1, ,1,3,532,2020/6/28,2019/1/13,2021/12/28,4480,77,4.342105263,58.18181818,72,0,3,2,105,3.208333333,24,22.16666667,0,3
1055,92,200,2, ,1,1,520,2020/6/17,2019/1/14,2021/12/15,2680,37,2.134615385,72.43243243,37,0,0,0,150,2.642857143,14,37.14285714,0,16
1056,92,200,2, ,1,1,475,2020/6/22,2019/3/5,2021/11/28,596,27,1.705263158,22.07407407,4,0,23,0,80,1.125,24,19.79166667,1,33
1057,92,400,0, ,0,1,534,2020/6/30,2019/1/13,2021/12/27,5848,94,5.280898876,62.21276596,93,0,1,0,110,3.357142857,28,19.07142857,0,4
1058,92,400,0, ,0,1,536,2020/6/24,2019/1/5,2021/12/23,6000,128,7.164179104,46.875,87,3,32,6,100,4.266666667,30,17.86666667,0,8
1059,92,200,2,与子女同住,0,1,539,2020/6/27,2019/1/5,2021/12/20,2742.6,65,3.617810761,42.19384615,50,0,15,0,94.5,4.333333333,15,35.93333333,0,11
1060,92,200,2,与子女同住,0,1,526,2020/6/16,2019/1/7,2021/12/24,2978,62,3.536121673,48.03225806,42,2,12,6,103,4.769230769,13,40.46153846,0,7
1061,92,200,2, ,1,1,531,2020/6/24,2019/1/10,2021/12/13,2954.96,62,3.502824859,47.66064516,62,0,0,0,80,3.263157895,19,27.94736842,0,18
1062,92,300,1,与子女同住,0,3,525,2020/6/29,2019/1/21,2021/12/17,3450,62,3.542857143,55.64516129,62,0,0,0,150,2.952380952,21,25,0,14
1063,92,300,1, ,0,1,515,2020/6/26,2019/1/28,2021/12/20,2790,37,2.155339806,75.40540541,37,0,0,0,300,3.7,10,51.5,0,11
1064,91,400,0, ,0,1,527,2020/6/25,2019/1/15,2021/12/17,5084,86,4.895635674,59.11627907,85,0,1,0,120,2.965517241,29,18.17241379,0,14
1065,91,200,2,与子女同住,0,1,539,2020/6/29,2019/1/7,2021/12/16,2800,79,4.39703154,35.44303797,49,8,15,7,90,3.434782609,23,23.43478261,0,15
1066,92,300,1,与子女同住,0,3,425,2020/6/14,2019/4/16,2020/9/29,2580,11,0.776470588,234.5454545,11,0,0,0,600,2.75,4,106.25,1,458
1067,91,200,2,与子女同住,1,3,526,2020/6/26,2019/1/17,2021/12/23,2799,51,2.908745247,54.88235294,43,2,5,1,130,3.642857143,14,37.57142857,0,8
1068,91,300,1, ,0,3,532,2020/6/29,2019/1/14,2021/12/31,3168,63,3.552631579,50.28571429,63,0,0,0,152,3.315789474,19,28,0,0
1069,91,200,2,与子女同住,0,1,525,2020/6/22,2019/1/14,2021/12/16,3000,65,3.714285714,46.15384615,57,1,6,1,90,3.823529412,17,30.88235294,0,15
